date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:27	16114/16114	---MC-	200	added ('OK')	image/jpeg	etag:%22402156f-3ef2-572ee93e357ab%22	https://www.coloris.com.mx/wp-content/uploads/2017/11/rentadecopiadoras1-705x375.jpg	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2017/11/rentadecopiadoras1-705x375.jpg	(from https://www.coloris.com.mx/)
21:26:27	14242/14242	---MC-	200	added ('OK')	image/jpeg	etag:%22402182d-37a2-572ee927866ee%22	https://www.coloris.com.mx/wp-content/uploads/2017/11/rosabonito-705x375.jpg	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2017/11/rosabonito-705x375.jpg	(from https://www.coloris.com.mx/)
21:26:28	13138/13138	---MC-	200	added ('OK')	image/jpeg	etag:%224021875-3352-572ee93299791%22	https://www.coloris.com.mx/wp-content/uploads/2017/11/verde-1-705x375.jpg	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2017/11/verde-1-705x375.jpg	(from https://www.coloris.com.mx/)
21:26:28	18532/18532	---MC-	200	added ('OK')	image/jpeg	etag:%224021802-4864-572ee92023ffe%22	https://www.coloris.com.mx/wp-content/uploads/2017/11/amarillobonito-705x375.jpg	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2017/11/amarillobonito-705x375.jpg	(from https://www.coloris.com.mx/)
21:26:29	28087/28087	---MC-	200	added ('OK')	image/jpeg	etag:%2240201ef-6db7-57928c721b63c%22	https://www.coloris.com.mx/portada-arrendamiento-de-impresoras-multifuncionales.jpg	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/portada-arrendamiento-de-impresoras-multifuncionales.jpg	(from https://www.coloris.com.mx/)
21:26:30	43429/43429	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Jan%202021%2003:26:29%20GMT	https://www.coloris.com.mx/mov_bbb.ogg	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/mov_bbb.ogg	(from https://www.coloris.com.mx/)
21:26:31	108888/108888	---MC-	200	added ('OK')	image/png	etag:%22402186b-1a958-55ebec670f8bd%22	https://www.coloris.com.mx/wp-content/uploads/2017/11/MAPA1.png	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2017/11/MAPA1.png	(from https://www.coloris.com.mx/)
21:26:32	42861/42861	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2003:26:31%20GMT	https://www.coloris.com.mx/arrendamiento-de-impresoras/	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/arrendamiento-de-impresoras/index.html	(from https://www.coloris.com.mx/)
21:26:34	41087/41087	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2003:26:32%20GMT	https://www.coloris.com.mx/renta-de-copiadoras-e-impresoras/	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/renta-de-copiadoras-e-impresoras/index.html	(from https://www.coloris.com.mx/)
21:26:34	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Tue,%2012%20Jan%202021%2003:26:31%20GMT	https://www.coloris.com.mx/wp-admin/admin-ajax.php	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-admin/admin-ajax.php	(from https://www.coloris.com.mx/)
21:26:34	41452/41452	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2003:26:32%20GMT	https://www.coloris.com.mx/renta-de-impresoras/	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/renta-de-impresoras/index.html	(from https://www.coloris.com.mx/)
21:26:35	41400/41400	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2003:26:33%20GMT	https://www.coloris.com.mx/renta-de-impresoras-con-tinta-continua/	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/renta-de-impresoras-con-tinta-continua/index.html	(from https://www.coloris.com.mx/)
21:26:35	41926/41926	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2003:26:34%20GMT	https://www.coloris.com.mx/renta-de-impresoras-economicas/	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/renta-de-impresoras-economicas/index.html	(from https://www.coloris.com.mx/)
